batch_id,legacy_code,affected_row_count,current_target_code,current_resolution_type,current_confidence,candidate_rank,candidate_code,candidate_confidence,candidate_heuristic,review_status,approved_target_code,review_notes
legacy-shadow-20260421T025306Z,3V-0710-M,3,3V-0710-M,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,3V0710-2,27,3V0710-2R,analyst_review,0.60,1,3V0710-2R,0.60,normalized-substring,,,Broader suffix-family approval: sole exact prefix-extension candidate for the 3V0710-2 family; approved after confirming sibling variants exist but none preserve the 3V0710-2 prefix as closely.
legacy-shadow-20260421T025306Z,3V0750-2,21,3V0750-2,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,3V0800-1,6,3V0800-1,analyst_review,0.60,1,001,0.60,normalized-substring,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,670VA 22-22,1,670VA 22-22,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,850VB,1,850VB 30-22,analyst_review,0.60,1,850VB 30-22,0.60,normalized-substring,,,Sole catalog family member for the 850VB prefix; approved conservatively as a reviewed one-off suffix mapping.
legacy-shadow-20260421T025306Z,8M-800*21M/M,1,8M-800*21M/M,analyst_review,0.60,1,002,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing an unrelated numeric candidate.
legacy-shadow-20260421T025306Z,925VB 30-22,8,925VB 30-22,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,BMT,1,BMT,analyst_review,0.60,1,BMT-04C02,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the generic BMT residue as a synthetic self-target because the BMT family is too broad for a confident match.
legacy-shadow-20260421T025306Z,BMT,1,BMT,analyst_review,0.60,2,BMT-17.2*716,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the generic BMT residue as a synthetic self-target because the BMT family is too broad for a confident match.
legacy-shadow-20260421T025306Z,BMT,1,BMT,analyst_review,0.60,3,BMT-17.5*715,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the generic BMT residue as a synthetic self-target because the BMT family is too broad for a confident match.
legacy-shadow-20260421T025306Z,BMT,1,BMT,analyst_review,0.60,4,BMT-18*725,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the generic BMT residue as a synthetic self-target because the BMT family is too broad for a confident match.
legacy-shadow-20260421T025306Z,BMT,1,BMT,analyst_review,0.60,5,BMT-19.5*750,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the generic BMT residue as a synthetic self-target because the BMT family is too broad for a confident match.
legacy-shadow-20260421T025306Z,BMT-GMO,1,BMT-GMO,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,BMT-GWD-23100,1,BMT-GWD-23100,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,BS022,1,BS022,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,J6-550,1,J6-550 LJ,analyst_review,0.60,1,J6-550 LJ,0.60,normalized-substring,,,Sole catalog family member for the J6-550 prefix; approved conservatively as a reviewed one-off suffix mapping.
legacy-shadow-20260421T025306Z,LA015-3,3,LA015-3,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA015-4,1,LA015-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA016-1,1,LA016-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA016-3,10,LA016-3,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,LA017-1,2,LA017-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA017-3,29,LA017-3,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,LA019-3,1,LA019-3,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA027-1,1,LA027-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA029-5,1,LA029-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA033-4,2,LA033-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA033-5,1,LA033-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA036-1,1,LA036-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA036-5,2,LA036-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA038-1,1,LA038-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA039-5,1,LA039-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA042-1,2,LA042-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA045-5,1,LA045-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA046-1,1,LA046-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA047-1,1,LA047-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA052-1,1,LA052-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA052-5,1,LA052-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA056-1,1,LA056-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA057-1,1,LA057-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA059-1,1,LA059-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA061-1,2,LA061-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA061-4,1,LA061-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA067-5,2,LA067-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA074-5,1,LA074-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA115-5,1,LA115-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA118-5,3,LA118-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA120-5,1,LA120-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LA188-4,1,LA188-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB039-5,1,LB039-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB052-4,1,LB052-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB059-4,2,LB059-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB062-5,1,LB062-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB063-5,1,LB063-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB064-5,1,LB064-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB076-5,1,LB076-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB096-5,1,LB096-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB113-4,1,LB113-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB143-5,1,LB143-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB144-5,1,LB144-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB168-5,1,LB168-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB169-5,1,LB169-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB375,1,LB375,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LB380-3,1,LB380-3,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC038-1,1,LC038-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC040-4,1,LC040-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC047-4,1,LC047-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC048-4,1,LC048-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC069-A8,1,LC069-A8,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC081-4,1,LC081-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC089-5,1,LC089-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC110-4,1,LC110-4,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC130-5,1,LC130-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LC190-5,1,LC190-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LE140-3,1,LE140-3,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LE140-5,4,LE140-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LF033-1,1,LF033-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LF073-5,7,LF073-5,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,LK011.8,1,LK011.8,analyst_review,0.60,1,011,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing an unrelated numeric candidate.
legacy-shadow-20260421T025306Z,LK024,2,LK024,analyst_review,0.60,1,LK024-3,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the legacy code as a synthetic self-target because the -3 and -4 family candidates remain ambiguous.
legacy-shadow-20260421T025306Z,LK024,2,LK024,analyst_review,0.60,2,LK024-4,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the legacy code as a synthetic self-target because the -3 and -4 family candidates remain ambiguous.
legacy-shadow-20260421T025306Z,LK027.5-4,14,LK027.5-4,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,LM014-5,16,LM014-5,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,LM018.4-5,16,LM018.4-5,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,LM019.5,1,LM019.5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LM021.5-5,6,LM021-5,analyst_review,0.60,1,LM021-5,0.60,normalized-substring,,,Broader suffix-family approval: best-fit LM021 family candidate preserving the trailing -5 variant while dropping the legacy decimal artifact.
legacy-shadow-20260421T025306Z,LM028-1,1,LM028-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LM031-5,1,LM031-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,LM032-1,5,LM032-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N1 OA041,1,A041,analyst_review,0.60,1,A041,0.60,normalized-substring,,,Reviewed singleton candidate: belt-code residue aligned to catalog A041 after stripping note-like prefix noise.
legacy-shadow-20260421T025306Z,N1 OH M-31,1,N1 OH M-31,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N1A038-1,1,N1A038-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N1B046-1,1,N1B046-1,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3 OA043,4,N3 OA043,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3 OC090,2,N3 OC090,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3 OM026,1,N3 OM026,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3 OM027,1,N3 OM027,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3 PA225,1,N3 PA225,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3 PC-168,1,PC168,analyst_review,0.60,1,PC168,0.60,normalized-substring,,,Reviewed singleton candidate: belt-code residue aligned to catalog PC168 after stripping note-like prefix and punctuation.
legacy-shadow-20260421T025306Z,N33V-820,7,N33V-820,analyst_review,0.60,,,,,,,Synthetic-review bulk pass: create an upstream normalized product placeholder for a top residue code.
legacy-shadow-20260421T025306Z,N3C242,1,N3C242,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3OHB108,1,N3OHB108,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3OHB120,1,N3OHB120,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3OHC113,1,N3OHC113,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3PE-140,3,N3PE-140,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N3SPA-1232,1,PA123,analyst_review,0.60,1,PA123,0.60,normalized-substring,,,Reviewed singleton candidate: belt-code residue aligned to catalog PA123 as the only plausible A-123 family target.
legacy-shadow-20260421T025306Z,N3SPC-3250,2,N3SPC-3250,analyst_review,0.60,1,PC325,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder because the only candidate is too weak for approval.
legacy-shadow-20260421T025306Z,N4A220,2,N4A220,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N4B103,1,N4B103,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5A046,1,N5A046,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5A067,2,N5A067,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5A118,1,N5A118,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5A120,1,N5A120,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5B087,1,N5B087,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5B091,1,N5B091,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5B098,1,N5B098,analyst_review,0.60,1,098,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing an unrelated numeric candidate.
legacy-shadow-20260421T025306Z,N5BO050,1,BO050,analyst_review,0.60,1,BO050,0.60,normalized-substring,,,Reviewed singleton candidate: belt-code residue aligned to catalog BO050 after stripping note-like prefix noise.
legacy-shadow-20260421T025306Z,N5C118,1,N5C118,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5C119,1,N5C119,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5C137,1,N5C137,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5K035,1,N5K035,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,N5M058,1,N5M058,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,NAO081-3,1,AO081,analyst_review,0.60,1,AO081,0.60,normalized-substring,,,Reviewed singleton candidate: belt-code residue aligned to catalog AO081 after stripping the leading N and trailing variant suffix.
legacy-shadow-20260421T025306Z,NM018.4-5,1,NM018.4-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,NM019.5-5,1,NM019.5-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,NOM020.5-5,1,NOM020.5-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,NOM021.5-5,2,NOM021.5-5,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,NVT-100*1610,1,NVT-100*1610,analyst_review,0.60,1,001,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing an unrelated freight candidate.
legacy-shadow-20260421T025306Z,NVT-193,2,NVT-193,analyst_review,0.60,1,NVT-193 1400,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the legacy code as a synthetic self-target because the multiple NVT size variants remain ambiguous.
legacy-shadow-20260421T025306Z,NVT-193,2,NVT-193,analyst_review,0.60,2,NVT-193 1610,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the legacy code as a synthetic self-target because the multiple NVT size variants remain ambiguous.
legacy-shadow-20260421T025306Z,NVT-193,2,NVT-193,analyst_review,0.60,3,NVT-193 1905,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the legacy code as a synthetic self-target because the multiple NVT size variants remain ambiguous.
legacy-shadow-20260421T025306Z,NVT-193,2,NVT-193,analyst_review,0.60,4,NVT-193 2159,0.60,normalized-substring,,,Final ambiguous-tail resolution: preserve the legacy code as a synthetic self-target because the multiple NVT size variants remain ambiguous.
